image_name,mos
41wy7upxzl.jpg,5.569230769
ygujjq6xxt.jpg,6.103174603
wk321130q0.jpg,5.541984733
w50dp2zjpg.jpg,6.234848485
l7rqfxeuh0.jpg,5.19047619
iapcid06sr.jpg,5.938461538
twvec6pi41.jpg,7.389312977
h0wh5in2rd.jpg,6.123076923
j70kuiwf5y.jpg,6.866141732
9qls7ros2m.jpg,5.753968254
tj25fu2nq1.jpg,6.032258065
0s9eb46x10.jpg,6.5234375
wc2urapw9h.jpg,5.770992366
da9bbritof.jpg,5.578947368
s8mue5svaq.jpg,5.876470588
79m236ghh6.jpg,6.046783626
xrntwua656.jpg,5.760233918
3pzcngvk5i.jpg,5.838509317
oh3yan9gru.jpg,5.341614907
spbxk4bxfw.jpg,5.670731707
4iwvg5jc9l.jpg,5.13125
kxe2ed8cfp.jpg,5.928994083
ba5y3el4bh.jpg,5.554216867
1ler0d78de.jpg,6.67251462
pfq8u8wu1t.jpg,6.25433526
zu5r14lfgr.jpg,5.072727273
uwl47bqgif.jpg,5.261904762
tblxl6k7f7.jpg,6.930635838
iw9ws82irv.jpg,5.6
msdzxondcc.jpg,5.595238095
yqix27oasf.jpg,6.4375
7m8jur7r6e.jpg,4.337209302
fi1bi0wo24.jpg,6.271084337
qn6me4q0zf.jpg,5.479768786
4acmw75frl.jpg,6.959537572
wrawv2oo68.jpg,5.75147929
tymts7an4a.jpg,6.206060606
tbb3xxmama.jpg,5.477011494
x5snabijm5.jpg,5.871165644
a6pt67mw5f.jpg,5.757575758
3mw1g08um4.jpg,5.421052632
jo90ry3j7i.jpg,5.993975904
18m7hfqvv0.jpg,6.059171598
02us2qgqxs.jpg,5.358024691
45wy3pxh4q.jpg,5.994011976
wa2s2jd45g.jpg,5.131736527
yuyu29gj5s.jpg,4.14619883
d6nzojm6fi.jpg,5.939393939
0lzhzhm5kj.jpg,5.361445783
xram0n5vjj.jpg,5.478787879
vc0hmijr53.jpg,4.469512195
gk8jhv2ot9.jpg,5.6625
lheknk3l3q.jpg,5.389473684
xke76dq2ji.jpg,6.139037433
nlh8pc7zfm.jpg,5.683060109
ytsjrg2ayg.jpg,5.867021277
077g8x2yn6.jpg,6.632124352
g3bqeh0xo4.jpg,5.711340206
prhis6osaw.jpg,4.301675978
d3fogpxy7t.jpg,4.941798942
w8mrxwu1b3.jpg,6.038043478
yl8ok5vuo6.jpg,6.54787234
rm2loi2eag.jpg,5.846994536
mvic0xqeev.jpg,5.894444444
cxgrmf7zfx.jpg,6.356756757
ugacycvnau.jpg,5.505434783
13m2o9ccke.jpg,6.155080214
ius1wmngp8.jpg,5.733333333
141i5jnwju.jpg,5.38121547
rw6w5552e4.jpg,6.641414141
g2bxho6k3t.jpg,5.262295082
d5gtwob0ey.jpg,5.869109948
jy17gc2x7r.jpg,4.373205742
byj54vj5t8.jpg,6.35483871
dqly5n4oap.jpg,6.316037736
12pe6fjq99.jpg,5.18957346
ko2e2iaahq.jpg,5.857819905
kdi6m7l8e4.jpg,6.060747664
lmct4xny2b.jpg,4.733009709
kppx8kqzpk.jpg,6.241706161
addw35rfu2.jpg,6.033175355
yzm1ddzc4s.jpg,5.27804878
sd2kotnwwm.jpg,4.765258216
t9si1yphim.jpg,5.84057971
b3zhome124.jpg,5.034482759
ljv8ucs33i.jpg,4.927884615
n9svrgrjka.jpg,5.995305164
xermyvq1sl.jpg,5.313019391
wrbt0nvt9m.jpg,4.785123967
vr6rdbjs1h.jpg,5.504225352
xvv020aihk.jpg,4.670422535
hxf0nkuzku.jpg,4.494350282
odxniu186x.jpg,5.677506775
gtyvpy4zpb.jpg,5.028818444
49bhp8dy1r.jpg,3.695652174
fiue6ux8pw.jpg,4.423188406
vfpkcka1qq.jpg,5.008522727
2inxzcpe87.jpg,5.423076923
74w0d2ra3t.jpg,4.919308357
jx11dyq08w.jpg,4.796033994
nlswdaho4u.jpg,5.048850575
a1gs0soxei.jpg,5.525568182
y6z5raeihm.jpg,4.593837535
md0xgpqshl.jpg,5.484240688
3ytps6o51v.jpg,5.360335196
cp2p8chain.jpg,4.575070822
irzmfo430q.jpg,5.505434783
r6k567yjqw.jpg,5.280555556
s3z3glcukp.jpg,5.620498615
ox0jmymphf.jpg,4.944289694
3iwlt530rl.jpg,4.958333333
8nn9okg8a1.jpg,5.823863636
wvbolkyd77.jpg,5.101694915
zy9ti01r9w.jpg,5.34
zevabv0ymo.jpg,6.06557377
vntdyfd6tr.jpg,4.718475073
707nasqpjm.jpg,5.446927374
7ljode35l4.jpg,6.108882521
b7dv10p7xe.jpg,5.173669468
